2, 3, 80.0, 20.0, 60.0, 0, Stone, 0, 4
1, 3, 80.0, 20.0, 60.0, 0, Water, 1, 2

2, 4, 79.5, 20.0, 60.0, 0, Stone, 0, 4
1, 4, 79.5, 22.0, 60.0, 1, Water, 2, 2

2, 5, 79.0, 20.0, 60.0, 0, Stone, 0, 4
1, 5, 79.0, 25.0, 60.0, 2, Water, 3, 2

1, 6, 78.5, 25.0, 60.0, 2, Water, 0, 2
2, 6, 78.5, 20.0, 60.0, 0, Stone, 0, 4

2, 7, 78.0, 20.0, 60.0, 0, Stone, 0, 3
1, 7, 78.0, 27.0, 60.0, 2, Water, 1, 2

2, 8, 77.5, 20.0, 60.0, 0, Stone, 0, 2
1, 8, 77.5, 27.0, 60.0, 2, Water, 2, 2

2, 9, 77.0, 22.0, 60.0, 1, Stone, 0, 1
1, 9, 77.0, 27.0, 60.0, 2, Water, 3, 2

