1, 3, 70.5, 20.0, 60.0, 0, Stone, 1, 3
5, 2, 100.0, 30.0, 20.0, 0, Flame, 1, 3
4, 45, 90.0, 30.0, 20.0, 0, Water, 1, 8
3, 3, 63.0, 30.0, 20.0, 0, Air, 2, 2
2, 14, 4.44, 30.0, 20.0, 0, Flame, 9, 4

Special ability performed by flame warrior!
5, 3, 100.0, 30.0, 20.0, 0, Flame, 0, 4
1, 4, 73.5, 20.0, 60.0, 0, Stone, 1, 2
3, 4, 46.0, 30.0, 20.0, 0, Air, 1, 2
4, 46, 89.5, 30.0, 20.0, 0, Water, 1, 9
2, 15, 3.9400000000000004, 30.0, 100.0, 0, Flame, 9, 3

3, 5, 49.0, 30.0, 20.0, 0, Air, 0, 2
5, 4, 70.0, 30.0, 20.0, 0, Flame, 0, 5
1, 5, 76.5, 20.0, 60.0, 0, Stone, 1, 3
4, 47, 89.0, 30.0, 20.0, 0, Water, 1, 9
2, 16, 3.4400000000000004, 30.0, 100.0, 0, Flame, 9, 4

1, 6, 79.5, 20.0, 60.0, 0, Stone, 0, 2
4, 48, 88.5, 30.0, 20.0, 0, Water, 1, 9
3, 6, 28.5, 30.0, 20.0, 0, Air, 9, 2
2, 17, 2.9400000000000004, 30.0, 70.0, 0, Flame, 9, 3
5, 5, 42.5, 30.0, 20.0, 0, Flame, 9, 4

A warrior has left the game!
4, 49, 88.0, 30.0, 20.0, 0, Water, 1, 0
5, 6, 12.0, 30.0, 20.0, 0, Flame, 8, 3
2, 18, 2.4400000000000004, 30.0, 70.0, 0, Flame, 9, 2
1, 7, 52.5, 20.0, 60.0, 0, Stone, 9, 3

A warrior has left the game!
1, 8, 22.0, 20.0, 60.0, 0, Stone, 0, 3
4, 50, 91.0, 31.0, 20.0, 0, Water, 1, 1
2, 19, 1.9400000000000004, 30.0, 70.0, 0, Flame, 9, 1

4, 51, 94.0, 33.0, 20.0, 0, Water, 1, 1
1, 9, 25.0, 20.0, 60.0, 0, Stone, 1, 2
2, 20, 1.4400000000000004, 30.0, 70.0, 0, Flame, 9, 2

1, 10, 28.0, 20.0, 60.0, 0, Stone, 1, 1
4, 52, 77.0, 35.0, 20.0, 0, Water, 1, 1
2, 21, 0.9400000000000004, 30.0, 70.0, 0, Flame, 9, 1

1, 11, 31.0, 20.0, 60.0, 0, Stone, 1, 2
4, 53, 80.0, 37.0, 20.0, 0, Water, 1, 2
2, 22, 0.4400000000000004, 30.0, 70.0, 0, Flame, 9, 0

A warrior has left the game!
4, 54, 83.0, 40.0, 20.0, 0, Water, 1, 3
1, 12, 34.0, 20.0, 60.0, 0, Stone, 2, 2

4, 55, 66.0, 42.0, 20.0, 0, Water, 1, 3
1, 13, 37.0, 20.0, 60.0, 0, Stone, 2, 3

4, 56, 49.0, 44.0, 20.0, 0, Water, 1, 3
1, 14, 40.0, 20.0, 60.0, 0, Stone, 3, 3

4, 57, 52.0, 46.0, 20.0, 0, Water, 1, 4
1, 15, 43.0, 20.0, 60.0, 0, Stone, 2, 3

1, 16, 46.0, 20.0, 60.0, 0, Stone, 1, 4
4, 58, 38.0, 47.0, 20.0, 0, Water, 1, 5

1, 17, 48.5, 20.0, 60.0, 0, Stone, 1, 3
4, 59, 17.5, 47.0, 20.0, 0, Water, 1, 5

1, 18, 51.5, 20.0, 60.0, 0, Stone, 0, 2
4, 60, 17.0, 47.0, 20.0, 0, Water, 1, 5

1, 19, 54.5, 20.0, 60.0, 0, Stone, 1, 1
4, 61, 16.5, 47.0, 20.0, 0, Water, 1, 6

4, 62, 19.0, 47.0, 20.0, 0, Water, 1, 7
1, 20, 57.5, 20.0, 60.0, 0, Stone, 2, 2

4, 63, 18.5, 47.0, 20.0, 0, Water, 1, 7
1, 21, 60.5, 20.0, 60.0, 0, Stone, 2, 3

4, 64, 18.0, 47.0, 20.0, 0, Water, 1, 7
1, 22, 63.5, 20.0, 60.0, 0, Stone, 3, 3

4, 65, 17.5, 47.0, 20.0, 0, Water, 1, 8
1, 23, 66.5, 20.0, 60.0, 0, Stone, 3, 2

4, 66, 17.0, 47.0, 20.0, 0, Water, 1, 9
1, 24, 69.5, 20.0, 60.0, 0, Stone, 2, 3

1, 25, 72.5, 20.0, 60.0, 0, Stone, 1, 3
4, 67, 16.5, 47.0, 20.0, 0, Water, 1, 9

1, 26, 75.5, 20.0, 50.0, 0, Stone, 0, 2
4, 68, 16.0, 47.0, 20.0, 0, Water, 1, 9

4, 69, 15.5, 47.0, 20.0, 0, Water, 1, 0
1, 27, 78.5, 20.0, 50.0, 0, Stone, 1, 2

4, 70, 18.5, 48.0, 20.0, 0, Water, 1, 1
1, 28, 81.5, 20.0, 50.0, 0, Stone, 1, 3

4, 71, 21.5, 50.0, 20.0, 0, Water, 1, 1
1, 29, 84.5, 20.0, 50.0, 0, Stone, 1, 2

4, 72, 4.5, 52.0, 20.0, 0, Water, 1, 1
1, 30, 87.5, 20.0, 50.0, 0, Stone, 2, 1

Special ability performed by water warrior!
4, 73, 7.5, 54.0, 20.0, 0, Water, 1, 2
1, 31, 90.5, 25.2, 50.0, 1, Stone, 3, 2

4, 74, 10.5, 57.0, 20.0, 0, Water, 1, 3
1, 32, 93.5, 25.2, 50.0, 1, Stone, 2, 2

A warrior has left the game!
A warrior has been proven victor!
